type,darshan_date,value,detail,post_id,post_datetime,title,link
title_body_date_mismatch,2015-05-26,84345,"title says 2015-05-02, body says 2015-05-26; used 2015-05-26 (month_day_year_inferred@body)",16934,2015-05-27 05:55:12,"About 84,345 pilgrims had Srivari Darshan on May 2",https://news.tirumala.org/sarva-darshan-free-darshan-4-compartments-5-hours-divya-darshan-footpath-darshan-2-compartments-4-hours-and-special-entry-darshan-rs-300-after-9am-for-advance-booking-only-2/
title_body_date_mismatch,2015-05-27,70458,"title says 2015-05-02, body says 2015-05-27; used 2015-05-27 (month_day_year_inferred@body)",16950,2015-05-28 06:51:07,"About 70,458 pilgrims had Srivari Darshan on May 2",https://news.tirumala.org/sarva-darshan-free-darshan-3-compartments-3-hours-divya-darshan-footpath-darshan-2-compartments-3-hours-and-special-entry-darshan-rs-300-after-10am-for-advance-booking-only/
title_body_date_mismatch,2015-06-25,65801,"title says 2015-06-02, body says 2015-06-25; used 2015-06-25 (month_day_year_inferred@body)",17862,2015-06-26 10:46:52,"About 65,801 pilgrims had Srivari Darshan on June 2",https://news.tirumala.org/sarva-darshan-free-darshan-9-compartments-6-hours-divya-darshan-footpath-darshan-3-compartments-4-hours-and-special-entry-darshan-rs-300-after-10am-for-advance-booking-only/
title_body_date_mismatch,2015-08-14,39722,"title says 2015-08-13, body says 2015-08-14; used 2015-08-14 (month_day_year_inferred@body)",19443,2015-08-14 19:08:37,"About 39,722 pilgrims had Srivari Darshan from 3am to 6pm on Aug 13",https://news.tirumala.org/sarva-darshan-free-darshan-24-compartments-10-hours-divya-darshan-footpath-darshan-14-compartments-7-hours-and-special-entry-darsha-rs-300-closed/
title_body_date_mismatch,2015-08-27,58122,"title says 2015-08-28, body says 2015-08-27; used 2015-08-27 (month_day_year_inferred@body)",19832,2015-08-28 07:09:55,"About 58,122 pilgrims had Srivari Darshan on Aug 28",https://news.tirumala.org/sarva-darshan-free-darshan-10-compartments-7-hours-divya-darshan-footpath-darshan-2-compartments-4-hours-and-special-entry-darshan-rs-300-after-9am-for-advance-booking-only/
title_body_date_mismatch,2015-11-14,51193,"title says 2015-11-13, body says 2015-11-14; used 2015-11-14 (month_day_year_inferred@body)",23892,2015-11-14 20:03:54,"About 51,193 pilgrims had Srivari Darshan from 3am to 6pm on Nov 13",https://news.tirumala.org/sarva-darshan-free-darshan-29-compartments-9-hours-divya-darshan-footpath-darshan-12-compartments-6-hours-and-special-entry-darsha-rs-300-closed/
title_body_date_mismatch,2016-04-14,44134,"title says 2016-04-13, body says 2016-04-14; used 2016-04-14 (month_day_year_inferred@body)",29905,2016-04-14 18:42:30,"About 44,134 pilgrims had Srivari Darshan from 3am to 6pm on April 13",https://news.tirumala.org/about-44134-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-april-13/
title_body_date_mismatch,2016-05-26,60289,"title says 2016-05-25, body says 2016-05-26; used 2016-05-26 (month_day_year_inferred@body)",31370,2016-05-26 19:04:20,"About 60,289 pilgrims had Srivari Darshan from 3am to 6pm on May 25",https://news.tirumala.org/about-60289-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-may-25/
title_body_date_mismatch,2017-10-09,54431,"title says 2017-10-08, body says 2017-10-09; used 2017-10-09 (month_day_year_inferred@body)",50075,2017-10-09 18:22:34,"About 54,431 pilgrims had Srivari Dharshan from 3am to 6pm on Oct 8",https://news.tirumala.org/about-54431-pilgrims-had-srivari-dharshan-from-3am-to-6pm-on-oct-8/
title_body_date_mismatch,2018-07-26,56263,"title says 2018-07-26, body says 2018-07-25; used 2018-07-26 (month_day_year_inferred@title)",62109,2018-07-26 18:57:31,"About 56,263 Pilgrims had Darshan from 3am to 6pm on July 26",https://news.tirumala.org/about-56263-pilgrims-had-darshan-from-3am-to-6pm-on-july-26/
title_body_date_mismatch,2018-07-26,76984,"title says 2018-07-26, body says 2018-07-25; used 2018-07-26 (month_day_year_inferred@title)",62111,2018-07-27 06:19:05,"About 76,984 Pilgrims had Darshan on July 26",https://news.tirumala.org/about-71160-pilgrims-had-darshan-on-july-26/
title_body_date_mismatch,2018-07-27,43186,"title says 2018-07-27, body says 2018-07-05; used 2018-07-27 (month_day_year_inferred@title)",62149,2018-07-27 19:20:28,"About 43,186 Pilgrims had Darshan from 3am to 4pm on July 27",https://news.tirumala.org/about-43186-pilgrims-had-darshan-from-3am-to-4pm-on-july-27/
title_body_date_mismatch,2018-08-02,72260,"title says 2018-08-02, body says 2017-08-02; used 2018-08-02 (month_day_year_inferred@title)",62357,2018-08-03 07:01:26,"About 72,260 Pilgrims had Darshan on Aug 2",https://news.tirumala.org/about-72260-pilgrims-had-darshan-on-aug-2/
title_body_date_mismatch,2018-08-16,14000,"title says 2018-08-16, body says 2017-08-16; used 2018-08-16 (month_day_year_inferred@title)",62803,2018-08-16 18:04:30,"About 14,000 Pilgrims had Darshan till 6pm on Aug 16",https://news.tirumala.org/about-14000-pilgrims-had-darshan-till-6pm-on-aug-16/
title_body_date_mismatch,2018-08-16,14000,"title says 2018-08-16, body says 2017-08-16; used 2018-08-16 (month_day_year_inferred@title)",62870,2018-08-16 18:29:50,"About 14,000 Pilgrims had Darshan from 3pm to 6pm on Aug 16",https://news.tirumala.org/about-14000-pilgrims-had-darshan-from-3am-to-6pm-on-aug-16/
title_body_date_mismatch,2018-09-12,56965,"title says 2018-09-12, body says 2018-09-13; used 2018-09-12 (month_day_year_inferred@title)",63701,2018-09-13 06:27:43,"About 56,965 Pilgrims had Darshan on Sep 12",https://news.tirumala.org/about-56965-pilgrims-had-darshan-on-sep-12/
title_body_date_mismatch,2018-10-18,64928,"title says 2018-10-18, body says 2018-10-16; used 2018-10-18 (month_day_year_inferred@title)",66198,2018-10-18 21:14:03,"About 64,928 Pilgrims had Darshan from 3am to 6pm on Oct 18",https://news.tirumala.org/about-64928-pilgrims-had-darshan-from-3am-to-6pm-on-oct-18/
title_body_date_mismatch,2018-12-06,41061,"title says 2018-12-06, body says 2018-11-06; used 2018-12-06 (month_day_year_inferred@title)",66573,2018-12-06 18:38:08,"About 41,061 Pilgrims had Darshan from 3am to 6pm on Dec 6",https://news.tirumala.org/about-41061-pilgrims-had-darshan-from-3am-to-6pm-on-dec-6/
title_body_date_mismatch,2018-12-14,45214,"title says 2018-12-14, body says 2017-12-14; used 2018-12-14 (month_day_year_inferred@title)",66755,2018-12-14 21:18:54,"About 45,214 Pilgrims had Darshan from 3am to 6pm on Dec 14",https://news.tirumala.org/about-45214-pilgrims-had-darshan-from-3am-to-6pm-on-dec-14/
title_body_date_mismatch,2019-01-02,41112,"title says 2018-12-02, body says 2019-01-02; used 2019-01-02 (loose_dmy@body)",67026,2019-01-02 20:06:46,"About 41,112 Pilgrims had Darshan from 3am to 6pm on Dec 2",https://news.tirumala.org/about-41112-pilgrims-had-darshan-from-3am-to-6pm-on-dec-2/
title_body_date_mismatch,2019-01-07,64147,"title says 2018-12-07, body says 2019-01-07; used 2019-01-07 (explicit_dmy@body)",67101,2019-01-08 06:48:47,"About 64,147 Pilgrims had Darshan on Dec 7",https://news.tirumala.org/about-64147-pilgrims-had-darshan-on-dec-7/
title_body_date_mismatch,2019-02-11,54658,"title says 2019-02-11, body says 2019-02-10; used 2019-02-11 (month_day_year_inferred@title)",67613,2019-02-11 18:48:54,"About 54,658 Pilgrims had Darshan from 3am to 6pm on Feb 11",https://news.tirumala.org/about-54658-pilgrims-had-darshan-from-3am-to-6pm-on-feb-11/
title_body_date_mismatch,2019-06-13,68779,"title says 2019-06-13, body says 2019-06-14; used 2019-06-13 (month_day_year_inferred@title)",69144,2019-06-14 06:37:21,"About 68,779 Pilgrims had Darshan on June 13",https://news.tirumala.org/about-68779-pilgrims-had-darshan-on-june-13/
title_body_date_mismatch,2019-06-16,95560,"title says 2019-06-16, body says 2019-06-17; used 2019-06-16 (month_day_year_inferred@title)",69358,2019-06-17 06:27:42,"About 95,560 Pilgrims had Darshan on June 16",https://news.tirumala.org/about-95560-pilgrims-had-darshan-on-june-16/
title_body_date_mismatch,2019-07-05,44802,"title says 2019-07-05, body says 2019-06-05; used 2019-07-05 (month_day_year_inferred@title)",70086,2019-07-05 18:42:47,"About 44,802 Pilgrims had Darshan from 3am to 6pm on July 5",https://news.tirumala.org/about-44802-pilgrims-had-darshan-from-3am-to-6pm-on-july-5/
title_body_date_mismatch,2019-09-14,87623,"title says 2019-09-14, body says 2019-04-14; used 2019-09-14 (month_day_year_inferred@title)",72961,2019-09-15 07:16:14,"About 87,623 Pilgrims had Darshan on September 14",https://news.tirumala.org/about-87623-pilgrims-had-darshan-on-september-14/
title_body_date_mismatch,2019-10-30,52079,"title says 2019-10-30, body says 2019-10-28; used 2019-10-30 (month_day_year_inferred@title)",77831,2019-10-30 18:41:59,"About 52,079 Pilgrims had Darshan from 3am to 6pm on October 30",https://news.tirumala.org/about-52079-pilgrims-had-darshan-from-3am-to-6pm-on-october-30/
title_body_date_mismatch,2019-11-05,46106,"title says 2019-11-05, body says 2017-11-05; used 2019-11-05 (month_day_year_inferred@title)",78443,2019-11-05 19:32:00,"About 46,106 Pilgrims had Darshan from 3am to 6pm on November 5",https://news.tirumala.org/about-46106-pilgrims-had-darshan-from-3am-to-6pm-on-november-5/
title_body_date_mismatch,2020-01-10,41345,"title says 2020-01-10, body says 2019-01-10; used 2020-01-10 (month_day_year_inferred@title)",86480,2020-01-10 18:46:22,"About 41,345 Pilgrims had Darshan from 3am to 6pm on January 10",https://news.tirumala.org/about-41345-pilgrims-had-darshan-from-3am-to-6pm-on-january-10/
title_body_date_mismatch,2020-02-26,66810,"title says 2020-02-27, body says 2020-02-26; used 2020-02-26 (explicit_dmy@body)",93064,2020-02-27 09:21:02,"About 66,810 Pilgrims had Darshan on February 27",https://news.tirumala.org/about-66810-pilgrims-had-darshan-on-february-27/
title_body_date_mismatch,2020-03-03,43659,"title says 2020-03-03, body says 2020-02-03; used 2020-03-03 (month_day_year_inferred@title)",93737,2020-03-03 19:30:33,"About 43,659 Pilgrims had Darshan from 3am to 6pm on March 3",https://news.tirumala.org/about-43659-pilgrims-had-darshan-from-3am-to-6pm-on-march-3/
title_body_date_mismatch,2021-03-04,51877,"title says 2021-03-04, body says 2021-03-03; used 2021-03-04 (explicit_dmy@title)",123916,2021-03-05 04:13:26,"Total pilgrims who had darshan on 04.03.2021: 51,877",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-04-03-2021-51877/
title_body_date_mismatch,2021-04-06,37549,"title says 2021-04-06, body says 2021-04-05; used 2021-04-06 (explicit_dmy@title)",128564,2021-04-07 07:10:33,"Total pilgrims who had darshan on 06.04.2021: 37,549",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-06-04-2021-37549/
title_body_date_mismatch,2021-05-08,9065,"title says 2021-05-08, body says 2021-05-07; used 2021-05-08 (explicit_dmy@title)",132036,2021-05-09 05:04:17,"Total pilgrims who had darshan on 08.05.2021: 9,065",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-08-05-2021-9065/
title_body_date_mismatch,2021-10-23,28154,"title says 2021-10-22, body says 2021-10-23; used 2021-10-23 (explicit_dmy@body)",152379,2021-10-24 06:46:00,"Total pilgrims who had darshan on 22.10.2021: 28,154",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-22-10-2021-24208-2/
title_body_date_mismatch,2021-12-31,21263,"title says 2021-12-31, body says 2021-12-30; used 2021-12-31 (explicit_dmy@title)",160999,2022-01-01 06:45:00,"Total pilgrims who had darshan on 31.12.2021: 21,263",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-31-12-2021-21263/
title_body_date_mismatch,2022-08-16,72851,"title says 2022-08-16, body says 2022-08-15; used 2022-08-16 (explicit_dmy@title)",191501,2022-08-17 09:33:00,"Total pilgrims who had darshan on 16.08.2022: 72,851",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-16-08-2022-72851/
title_body_date_mismatch,2022-08-29,67950,"title says 2022-08-29, body says 2022-08-28; used 2022-08-29 (explicit_dmy@title)",192473,2022-08-30 06:00:00,"Total pilgrims who had darshan on 29.08.2022: 67,950",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-29-08-2022-67950/
title_body_date_mismatch,2022-12-07,51376,"title says 2022-12-07, body says 2022-12-06; used 2022-12-07 (explicit_dmy@title)",202790,2022-12-08 11:15:26,"Total pilgrims who had darshan on 07.12.2022: 51,376",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-07-12-2022-51376/
title_body_date_mismatch,2023-07-03,66077,"title says 2023-07-03, body says 2023-07-02; used 2023-07-03 (explicit_dmy@title)",226260,2023-07-04 06:50:00,"Total pilgrims who had darshan on 03.07.2023: 66,077",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-03-07-2023-66077/
title_body_date_mismatch,2023-07-29,78115,"title says 2023-07-29, body says 2023-07-28; used 2023-07-29 (explicit_dmy@title)",227903,2023-07-30 07:10:00,"Total pilgrims who had darshan on 29.07.2023: 78,115",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-29-07-2023-78115/
title_body_date_mismatch,2023-08-16,75776,"title says 2023-08-16, body says 2023-08-15; used 2023-08-16 (explicit_dmy@title)",228968,2023-08-17 07:45:18,"Total pilgrims who had darshan on 16.08.2023: 75,776",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-16-08-2023-75776/
title_body_date_mismatch,2023-09-07,58855,"title says 2023-09-07, body says 2023-09-06; used 2023-09-07 (explicit_dmy@title)",230571,2023-09-08 07:30:22,"Total pilgrims who had darshan on 07.09.2023: 58,855",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-07-09-2023-58855/
title_body_date_mismatch,2023-09-26,55747,"title says 2023-09-26, body says 2023-09-25; used 2023-09-26 (explicit_dmy@title)",232807,2023-09-27 08:02:32,"Total pilgrims who had darshan on 26.09.2023: 55,747",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-26-09-2023-55747/
title_body_date_mismatch,2023-12-27,65361,"title says 2023-12-27, body says 2023-12-26; used 2023-12-27 (explicit_dmy@title)",241856,2023-12-28 07:01:00,"Total pilgrims who had darshan on 27.12.2023: 65,361",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-27-12-2023-65361/
title_body_date_mismatch,2024-05-12,80001,"title says 2024-05-12, body says 2024-05-11; used 2024-05-12 (explicit_dmy@title)",255531,2024-05-13 07:28:00,"Total pilgrims who had darshan on 12.05.2024: 80,001",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-12-05-2024-80001/
title_body_date_mismatch,2025-02-16,79705,"title says 2025-02-16, body says 2025-02-15; used 2025-02-16 (explicit_dmy@title)",279767,2025-02-17 07:33:21,"Total pilgrims who had darshan on 16.02.2025: 79,705",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-16-02-2025-79705/
title_body_date_mismatch,2025-03-12,68509,"title says 2025-03-12, body says 2025-03-11; used 2025-03-12 (explicit_dmy@title)",283452,2025-03-13 08:07:00,"Total pilgrims who had darshan on 12.03.2025: 68,509",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-12-03-2025-68509/
title_body_date_mismatch,2025-03-18,65487,"title says 2025-03-18, body says 2025-03-17; used 2025-03-18 (explicit_dmy@title)",283999,2025-03-19 09:40:26,"Total pilgrims who had darshan on 18.03.2025: 65,487",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-18-03-2025-65487/
title_body_date_mismatch,2025-03-19,72388,"title says 2025-03-19, body says 2025-03-18; used 2025-03-19 (explicit_dmy@title)",284074,2025-03-20 06:41:00,"Total pilgrims who had darshan on 19.03.2025: 72,388",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-19-03-2025-72388/
title_body_date_mismatch,2025-04-13,79100,"title says 2025-04-13, body says 2025-04-12; used 2025-04-13 (explicit_dmy@title)",287840,2025-04-14 07:22:19,"Total pilgrims who had darshan on 13.04.2025: 79,100",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-13-04-2025-79100/
title_body_date_mismatch,2025-04-29,64263,"title says 2025-04-29, body says 2025-04-28; used 2025-04-29 (explicit_dmy@title)",288905,2025-04-30 09:30:48,"Total pilgrims who had darshan on 29.04.2025: 64,263",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-29-04-2025-64263/
title_body_date_mismatch,2025-05-18,84571,"title says 2025-05-18, body says 2025-05-17; used 2025-05-18 (explicit_dmy@title)",290754,2025-05-19 07:54:21,"Total pilgrims who had darshan on 18.05.2025: 84,571",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-18-05-2025-84571/
title_body_date_mismatch,2025-05-29,69019,"title says 2025-05-29, body says 2025-05-28; used 2025-05-29 (explicit_dmy@title)",291648,2025-05-30 07:36:35,"Total pilgrims who had darshan on 29.05.2025: 69,019",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-29-05-2025-69019/
title_body_date_mismatch,2025-05-30,71721,"title says 2025-05-30, body says 2025-05-29; used 2025-05-30 (explicit_dmy@title)",291758,2025-05-31 07:50:17,"Total pilgrims who had darshan on 30.05.2025: 71,721",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-30-05-2025-71721/
title_body_date_mismatch,2025-07-08,78320,"title says 2025-07-08, body says 2025-07-09; used 2025-07-08 (explicit_dmy@title)",295299,2025-07-09 07:36:00,"Total pilgrims who had darshan on 08.07.2025: 78,320",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-08-07-2025-78320/
title_body_date_mismatch,2025-07-13,80193,"title says 2025-07-13, body says 2025-07-12; used 2025-07-13 (explicit_dmy@title)",295640,2025-07-14 07:57:14,"Total pilgrims who had darshan on 13.07.2025: 80,193",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-13-07-2025-80193/
very_low_count,2020-06-14,1635,"far below median 67,502 - verify (possible partial/closure)",98367,2020-06-14 21:19:51,Total pilgrims who had darshan on 14-06-20 from 5:35am till 8:10pm,https://news.tirumala.org/total-pilgrims-who-had-darshan-on-14-06-20-from-535am-till-810pm/
very_low_count,2021-05-10,2400,"far below median 67,502 - verify (possible partial/closure)",132454,2021-05-11 06:51:34,"Total pilgrims who had darshan on 10.05.2021: 2,400",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-10-05-2021-2400/
very_low_count,2021-05-11,2262,"far below median 67,502 - verify (possible partial/closure)",132488,2021-05-12 06:43:49,"Total pilgrims who had darshan on 11.05.2021: 2,262",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-11-05-2021-2400/
very_low_count,2021-05-12,2141,"far below median 67,502 - verify (possible partial/closure)",132539,2021-05-13 06:52:08,"Total pilgrims who had darshan on 12.05.2021: 2,141",https://news.tirumala.org/total-pilgrims-who-had-darshan-on-12-05-2021-2262/
